iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,0.02652599,0.02652599,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,0.02262795,0.02225577,0.37212834,0.00002500,0.00002500,0.99501252,-0.00500000
2,0.01994827,0.01860615,1.34193170,0.00009954,0.00008886,0.99007285,-0.00942680
3,0.01800642,0.01575308,2.25296903,0.00022236,0.00014732,0.98519903,-0.01213755
4,0.01611917,0.01365149,2.46713352,0.00039156,0.00015967,0.98040652,-0.01263602
5,0.01414333,0.01205180,2.09078431,0.00060492,0.00013415,0.97570497,-0.01158248
6,0.01222688,0.01077189,1.45403826,0.00085997,0.00009260,0.97110051,-0.00962282
7,0.01052403,0.00970626,0.81655884,0.00115411,0.00005165,0.96659827,-0.00718655
8,0.00912699,0.00878785,0.33763373,0.00148448,0.00002122,0.96220380,-0.00460613
9,0.00804860,0.00796974,0.07700458,0.00184789,0.00000481,0.95792377,-0.00219263
10,0.00722582,0.00722270,0.00088844,0.00224069,0.00000006,0.95376694,-0.00023471
11,0.00656053,0.00653936,0.01850727,0.00265859,0.00000114,0.94974524,0.00106764
12,0.00598136,0.00593311,0.04515255,0.00309648,0.00000276,0.94587386,0.00166130
13,0.00547393,0.00542681,0.04356305,0.00354837,0.00000264,0.94217128,0.00162541
14,0.00506478,0.00504006,0.02071468,0.00400738,0.00000125,0.93865824,0.00111636
15,0.00478758,0.00478134,0.00177652,0.00446585,0.00000011,0.93535691,0.00032572
16,0.00465507,0.00464520,0.00495134,0.00491567,0.00000029,0.93228954,-0.00054156
17,0.00464618,0.00461270,0.02812223,0.00534858,0.00000165,0.92947632,-0.00128630
18,0.00471289,0.00465512,0.05201437,0.00575672,0.00000304,0.92693388,-0.00174413
19,0.00480320,0.00474032,0.05675266,0.00613312,0.00000330,0.92467380,-0.00181730
20,0.00488453,0.00483977,0.03828993,0.00647215,0.00000222,0.92270136,-0.00148981
21,0.00495153,0.00493316,0.01160568,0.00676974,0.00000067,0.92101550,-0.00081895
22,0.00501668,0.00500953,0.00012589,0.00702345,0.00000001,0.91960961,0.00008528
23,0.00509360,0.00506607,0.02029165,0.00723235,0.00000117,0.91847253,0.00108114
24,0.00518346,0.00510544,0.07061844,0.00739673,0.00000406,0.91759038,0.00201590
25,0.00527192,0.00513290,0.13150120,0.00751781,0.00000756,0.91694731,0.00275007
26,0.00533735,0.00515346,0.17628397,0.00759742,0.00001013,0.91652751,0.00318337
27,0.00536428,0.00517017,0.18645802,0.00763782,0.00001071,0.91631538,0.00327332
28,0.00535175,0.00518338,0.16072571,0.00764147,0.00000923,0.91629630,0.00303868
29,0.00531174,0.00519097,0.11314838,0.00761100,0.00000650,0.91645616,0.00254934
30,0.00526024,0.00518920,0.06348763,0.00754922,0.00000365,0.91678137,0.00190965
31,0.00520795,0.00517375,0.02673566,0.00745913,0.00000154,0.91725826,0.00123946
32,0.00515605,0.00514127,0.00743413,0.00734398,0.00000043,0.91787231,0.00065381
33,0.00509900,0.00509077,0.00101969,0.00720735,0.00000006,0.91860771,0.00024234
34,0.00503171,0.00502461,0.00004910,0.00705314,0.00000000,0.91944683,0.00005324
35,0.00495533,0.00494831,0.00012949,0.00688551,0.00000001,0.92037046,0.00008652
36,0.00487763,0.00486938,0.00153560,0.00670878,0.00000009,0.92135751,0.00029821
37,0.00480838,0.00479539,0.00646350,0.00652722,0.00000038,0.92238623,0.00061263
38,0.00475372,0.00473222,0.01514912,0.00634491,0.00000088,0.92343497,0.00093914
39,0.00471358,0.00468312,0.02429344,0.00616554,0.00000142,0.92448264,0.00119073
40,0.00468339,0.00464845,0.02894544,0.00599225,0.00000169,0.92551064,0.00130132
41,0.00465844,0.00462646,0.02615229,0.00582759,0.00000153,0.92650241,0.00123822
42,0.00463727,0.00461434,0.01725300,0.00567344,0.00000101,0.92744452,0.00100665
43,0.00462180,0.00460917,0.00709712,0.00553113,0.00000042,0.92832673,0.00064611
44,0.00461482,0.00460860,0.00082307,0.00540146,0.00000005,0.92914116,0.00022022
